simulation time,yL
33.700000,-0.001566
33.725000,-0.000232
33.750000,-0.001353
33.775000,0.002001
33.800000,0.003928
33.825000,0.005818
33.850000,0.006555
33.875000,0.009285
33.900000,0.008106
33.925000,0.005160
33.950000,0.003898
33.975000,0.000383
34.000000,0.000842
34.025000,0.001035
34.050000,-0.000400
34.075000,-0.006890
34.100000,-0.003792
34.125000,-0.012902
34.150000,-0.014313
34.175000,-0.012452
34.200000,-0.003463
34.225000,0.004050
34.250000,0.002383
34.275000,0.001880
34.300000,-0.000939
34.325000,0.000199
34.350000,-0.001465
34.375000,0.001715
34.400000,0.003756
34.425000,0.005587
34.450000,0.006133
34.475000,0.008350
34.500000,0.008582
34.525000,0.005558
34.550000,0.003885
34.575000,0.001289
34.600000,0.001606
34.625000,0.001449
34.650000,-0.000478
34.675000,-0.005875
34.700000,-0.003008
34.725000,-0.012371
34.750000,-0.012404
34.775000,-0.012465
34.800000,-0.006018
34.825000,0.003966
34.850000,0.003125
34.875000,0.002113
34.900000,-0.001822
34.925000,-0.000485
34.950000,-0.001519
34.975000,0.002018
35.000000,0.003804
35.025000,0.005532
35.050000,0.006175
35.075000,0.008594
35.100000,0.008319
35.125000,0.005400
35.150000,0.004795
35.175000,0.001326
35.200000,0.001145
35.225000,-0.001267
35.250000,-0.001193
35.275000,-0.006401
35.300000,-0.003426
35.325000,-0.012111
35.350000,-0.013543
35.375000,-0.009917
35.400000,-0.003648
35.425000,0.004312
35.450000,0.003118
35.475000,0.001522
35.500000,-0.001212
35.525000,-0.000657
35.550000,-0.001397
35.575000,0.002196
35.600000,0.003534
35.625000,0.005734
35.650000,0.006836
35.675000,0.009266
35.700000,0.007897
35.725000,0.005699
35.750000,0.003621
35.775000,-0.000657
35.800000,0.000922
35.825000,0.000347
35.850000,-0.001416
35.875000,-0.007015
35.900000,-0.004101
35.925000,-0.012165
35.950000,-0.014609
35.975000,-0.010237
36.000000,-0.004239
36.025000,0.002106
36.050000,0.002138
36.075000,0.001309
36.100000,-0.000153
36.125000,0.001045
36.150000,-0.000288
36.175000,0.001919
